"acq_date","New South Wales","Victoria"
2019-08-01,4,0
2019-08-02,7,0
2019-08-03,9,0
2019-08-04,2,0
2019-08-05,3,0
2019-08-06,22,0
2019-08-07,7,0
2019-08-08,24,0
2019-08-09,24,0
2019-08-10,73,0
2019-08-11,49,0
2019-08-12,12,0
2019-08-13,15,0
2019-08-14,5,0
2019-08-15,6,0
2019-08-16,10,0
2019-08-17,7,0
2019-08-18,7,0
2019-08-19,18,0
2019-08-20,15,0
2019-08-21,9,0
2019-08-22,6,0
2019-08-23,8,0
2019-08-24,11,0
2019-08-25,8,0
2019-08-26,11,0
2019-08-27,16,2
2019-08-28,24,0
2019-08-29,10,0
2019-08-30,4,0
2019-08-31,2,0
2019-09-01,1,2
2019-09-02,4,2
2019-09-03,23,8
2019-09-04,18,1
2019-09-05,7,2
2019-09-06,236,0
2019-09-07,258,0
2019-09-08,155,0
2019-09-09,207,0
2019-09-10,64,0
2019-09-11,48,1
2019-09-12,89,0
2019-09-13,118,1
2019-09-14,103,1
2019-09-15,67,0
2019-09-16,149,0
2019-09-17,2,0
2019-09-18,14,0
2019-09-19,22,3
2019-09-20,11,0
2019-09-21,1,0
2019-09-22,19,0
2019-09-23,57,0
2019-09-24,12,0
2019-09-26,5,1
2019-09-27,47,0
2019-09-28,21,0
2019-09-29,8,0
2019-09-30,1,0
2019-10-01,2,5
2019-10-02,2,2
2019-10-03,3,5
2019-10-04,11,0
2019-10-05,0,1
2019-10-06,11,0
2019-10-07,62,0
2019-10-08,344,0
2019-10-09,68,0
2019-10-10,3,2
2019-10-11,1,0
2019-10-12,3,1
2019-10-14,1,1
2019-10-15,9,0
2019-10-16,1,0
2019-10-17,26,0
2019-10-18,43,0
2019-10-19,136,0
2019-10-20,81,0
2019-10-21,51,8
2019-10-22,82,0
2019-10-23,39,4
2019-10-24,36,0
2019-10-25,31,0
2019-10-26,151,0
2019-10-27,125,1
2019-10-28,60,0
2019-10-29,75,1
2019-10-30,15,0
2019-10-31,61,0
2019-11-01,73,0
2019-11-02,51,0
2019-11-03,12,0
2019-11-04,31,0
2019-11-05,30,0
2019-11-06,133,0
2019-11-07,1335,0
2019-11-08,2272,0
2019-11-09,1130,0
2019-11-10,700,0
2019-11-11,222,0
2019-11-12,1597,0
2019-11-13,451,0
2019-11-14,509,0
2019-11-15,966,0
2019-11-16,398,0
2019-11-17,118,0
2019-11-18,350,0
2019-11-19,887,0
2019-11-20,192,0
2019-11-21,499,0
2019-11-22,498,29
2019-11-23,135,16
2019-11-24,70,43
2019-11-25,154,99
2019-11-26,298,0
2019-11-27,64,1
2019-11-28,242,6
2019-11-29,204,43
2019-11-30,54,1
2019-12-01,389,0
2019-12-02,569,0
2019-12-03,972,0
2019-12-04,1068,0
2019-12-05,1688,1
2019-12-06,1584,5
2019-12-07,991,10
2019-12-08,236,17
2019-12-09,698,99
2019-12-10,485,15
2019-12-11,57,0
2019-12-12,113,1
2019-12-13,19,4
2019-12-14,348,3
2019-12-15,463,0
2019-12-16,729,14
2019-12-17,488,44
2019-12-18,1034,27
2019-12-19,1296,65
2019-12-20,553,324
2019-12-21,1525,95
2019-12-22,75,98
2019-12-23,160,2
2019-12-24,17,29
2019-12-25,104,70
2019-12-26,207,97
2019-12-27,372,38
2019-12-28,770,2
2019-12-29,463,286
2019-12-30,2117,2189
2019-12-31,1028,367
2020-01-01,527,555
2020-01-02,516,685
2020-01-03,836,929
2020-01-04,3252,1949
2020-01-05,135,0
2020-01-06,47,0
2020-01-07,20,5
2020-01-08,71,52
2020-01-09,92,87
2020-01-10,147,8
2020-01-11,367,141
